ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
1,MMM,3M,https://en.wikipedia.org/wiki/3M,0,1.0992715,2.4430308
2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,7,3.5538175,3.1035802
3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,13,-0.76552415,1.636054
4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,13,-0.6994044,1.6469519
5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,-1,0.6642868,6.0990615
6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,21,-1.239446,4.3958573
7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,21,-0.997001,4.0851617
8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,3,4.7183514,2.8708916
9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,17,1.0991513,7.626913
10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,13,-0.7338996,3.1338851
11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products,-1,3.1776843,2.804994
12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb,5,2.6178625,6.2238116
13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,22,-0.9493143,5.0563993
14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,6,1.2929016,1.8185515
15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,4,3.4036834,7.533977
16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology,19,-0.33336627,3.1452403
17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion,-1,1.861942,7.353204
18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,3,4.7297235,2.9483962
19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,17,1.1123239,7.9374437
20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,-1,-0.26837888,4.9913397
21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,-1,-0.23000108,5.041674
22,MO,Altria,https://en.wikipedia.org/wiki/Altria,6,0.82264346,1.5928674
23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),-1,0.02881566,5.118453
24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor,6,0.60013574,2.1063433
25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren,3,5.205738,2.7273276
26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,3,4.6845937,3.0101438
27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express,-1,-0.1558164,6.7745876
28,AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group,17,1.028519,7.680835
29,AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower,4,3.2931666,6.6714225
30,AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,7,4.0542583,3.2377956
31,AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,17,0.6842965,6.923613
32,AME,Ametek,https://en.wikipedia.org/wiki/Ametek,13,-0.37137473,3.2886462
33,AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen,13,-1.2392545,1.541756
34,APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol,-1,-0.014855987,2.7314687
35,ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,21,-0.9400852,3.826943
36,AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company),17,1.0464693,7.015713
37,APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,3,4.1244206,2.8999577
38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,17,1.1469886,6.9680243
39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,-1,-0.58126,4.7779326
40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,20,-0.30310452,3.3052166
41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin,22,-1.1677377,4.763121
42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,19,-0.6528394,4.260736
43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,17,1.2544831,7.453746
44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,9,1.4209756,1.6204964
45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,22,-1.2804292,4.4712873
46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,17,1.2711092,7.89114
47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,17,1.0986284,7.5595655
48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T,-1,3.1060877,5.8919744
49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,3,4.422683,1.8212054
50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,21,-1.1972954,4.032597
51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),-1,-0.5114938,5.2131777
52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,2,2.012001,4.448785
53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,4,3.119663,7.502081
54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,-1,-0.72727287,3.7646687
55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,21,-0.89521796,3.6677878
56,BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,-1,3.4124606,2.2316568
57,BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,9,1.6326871,1.2207816
58,BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,15,-0.49077198,7.81304
59,BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International,13,-0.8455667,1.688215
60,BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),13,-0.9686905,2.0296175
61,BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,-1,1.2517856,7.5274563
62,BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy,2,1.5603945,4.249754
63,TECH,Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,13,-0.9832628,2.1104288
64,BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen,13,-1.063063,1.2694608
65,BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock,16,1.2042966,6.8430786
66,BX,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,16,1.1512363,6.926425
67,XYZ,"Block, Inc.","https://en.wikipedia.org/wiki/Block,_Inc.",14,0.06181289,5.8894124
68,BK,BNY Mellon,https://en.wikipedia.org/wiki/BNY,15,-0.2533519,7.7441106
69,BA,Boeing,https://en.wikipedia.org/wiki/Boeing,11,1.3950862,3.6884327
70,BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,5,2.7672107,6.3219833
71,BSX,Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,13,-0.8681214,2.213149
72,BMY,Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,13,-0.8047417,1.2932892
73,AVGO,Broadcom,https://en.wikipedia.org/wiki/Broadcom,20,-0.63979465,4.498742
74,BR,Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,16,0.44627884,6.6624427
75,BRO,Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,17,0.9860012,7.338674
76,BF.B,Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,8,2.2370005,1.504071
77,BLDR,Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,2,1.8077859,3.5941682
78,BG,Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global,15,0.7860023,6.942209
79,BXP,"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc.",4,3.390646,7.049385
80,CHRW,C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson,10,1.9957397,5.897737
81,CDNS,Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems,21,-1.2116647,3.7551417
82,CPT,Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,4,3.6964688,7.4909587
83,CPB,Campbell's Company (The),https://en.wikipedia.org/wiki/Campbell%27s,9,1.6911014,1.0574235
84,COF,Capital One,https://en.wikipedia.org/wiki/Capital_One,15,-0.24695742,7.5986223
85,CAH,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,1,1.074013,5.0820923
86,KMX,CarMax,https://en.wikipedia.org/wiki/CarMax,2,2.2913647,4.67431
87,CCL,Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,5,3.4047997,5.2245684
88,CARR,Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,-1,1.719898,3.4101307
89,CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,12,1.9508572,3.5889194
90,CBOE,Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,10,1.9227059,6.704043
91,CBRE,CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,5,2.4281774,6.7621264
92,CDW,CDW Corporation,https://en.wikipedia.org/wiki/CDW,-1,0.25304154,5.216297
93,COR,Cencora,https://en.wikipedia.org/wiki/Cencora,1,0.19423005,1.8014183
94,CNC,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,1,1.069699,5.171628
95,CNP,CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,3,4.8952074,1.9266049
